案號,案發時間,案件地點網格編號,timestamp
20220102053320007,2022-01-02 05:34:00,312,1641101640
20220102053936008,2022-01-02 05:40:00,258,1641102000
20220102060146004,2022-01-02 06:03:00,254,1641103380
20220102062715007,2022-01-02 06:27:00,285,1641104820
20220102063338007,2022-01-02 06:34:00,460,1641105240
20220102064427007,2022-01-02 06:45:00,400,1641105900
20220102070022003,2022-01-02 07:01:00,520,1641106860
20220102070316004,2022-01-02 07:04:00,523,1641107040
20220102072542003,2022-01-02 07:26:00,429,1641108360
20220102072857004,2022-01-02 07:30:00,254,1641108600
20220102073011007,2022-01-02 07:30:00,285,1641108600
20220102073849003,2022-01-02 07:39:00,288,1641109140
20220102075617004,2022-01-02 07:57:00,202,1641110220
20220102080110008,2022-01-02 08:02:00,371,1641110520
20220102080729007,2022-01-02 08:08:00,308,1641110880
20220102083046002,2022-01-02 08:32:00,671,1641112320
20220102085041004,2022-01-02 08:52:00,219,1641113520
20220102085336002,2022-01-02 08:55:00,491,1641113700
20220102090031003,2022-01-02 09:02:00,252,1641114120
20220102090215008,2022-01-02 09:04:00,254,1641114240
20220102090611005,2022-01-02 09:07:00,491,1641114420
20220102090855007,2022-01-02 09:09:00,289,1641114540
20220102091052002,2022-01-02 09:12:00,248,1641114720
20220102092133008,2022-01-02 09:23:00,514,1641115380
20220102093310008,2022-01-02 09:35:00,221,1641116100
20220102093355007,2022-01-02 09:36:00,200,1641116160
20220102094214008,2022-01-02 09:44:00,399,1641116640
20220102094604002,2022-01-02 09:46:00,189,1641116760
20220102095259005,2022-01-02 09:55:00,313,1641117300
20220102095933007,2022-01-02 10:00:00,223,1641117600
20220102100510008,2022-01-02 10:08:00,372,1641118080
20220102101720008,2022-01-02 10:19:00,454,1641118740
20220102101839005,2022-01-02 10:20:00,364,1641118800
20220102101902002,2022-01-02 10:20:00,524,1641118800
20220102102117007,2022-01-02 10:22:00,312,1641118920
20220102102349004,2022-01-02 10:25:00,158,1641119100
20220102102604002,2022-01-02 10:26:00,365,1641119160
20220102102820004,2022-01-02 10:29:00,432,1641119340
20220102103308004,2022-01-02 10:35:00,673,1641119700
20220102103656002,2022-01-02 10:37:00,249,1641119820
20220102104106003,2022-01-02 10:41:00,429,1641120060
20220102104145007,2022-01-02 10:42:00,50,1641120120
20220102105138002,2022-01-02 10:52:00,397,1641120720
20220102105157007,2022-01-02 10:52:00,282,1641120720
20220102105915002,2022-01-02 11:00:00,403,1641121200
20220102105915002,2022-01-02 11:00:00,403,1641121200
20220102110153007,2022-01-02 11:03:00,370,1641121380
20220102110603004,2022-01-02 11:07:00,491,1641121620
20220102110917005,2022-01-02 11:10:00,495,1641121800
20220102111356004,2022-01-02 11:15:00,173,1641122100
20220102112610003,2022-01-02 11:27:00,403,1641122820
20220102113031007,2022-01-02 11:31:00,402,1641123060
20220102113202005,2022-01-02 11:33:00,674,1641123180
20220102113533004,2022-01-02 11:36:00,158,1641123360
20220102113533004,2022-01-02 11:36:00,158,1641123360
20220102115716002,2022-01-02 11:57:00,342,1641124620
20220102120321007,2022-01-02 12:03:00,219,1641124980
20220102120931002,2022-01-02 12:10:00,525,1641125400
20220102121459004,2022-01-02 12:15:00,313,1641125700
20220102122211002,2022-01-02 12:23:00,462,1641126180
20220102122307007,2022-01-02 12:23:00,248,1641126180
20220102122333008,2022-01-02 12:24:00,431,1641126240
20220102123027002,2022-01-02 12:32:00,520,1641126720
20220102125520008,2022-01-02 12:56:00,462,1641128160
20220102130127008,2022-01-02 13:02:00,340,1641128520
20220102130320002,2022-01-02 13:04:00,250,1641128640
20220102130809003,2022-01-02 13:08:00,343,1641128880
20220102130845008,2022-01-02 13:09:00,524,1641128940
20220102130933005,2022-01-02 13:10:00,368,1641129000
20220102131306002,2022-01-02 13:14:00,253,1641129240
20220102131358003,2022-01-02 13:15:00,371,1641129300
20220102131831003,2022-01-02 13:19:00,435,1641129540
20220102132042004,2022-01-02 13:21:00,320,1641129660
20220102132320008,2022-01-02 13:23:00,220,1641129780
20220102132811002,2022-01-02 13:29:00,368,1641130140
20220102132811002,2022-01-02 13:29:00,368,1641130140
20220102133450008,2022-01-02 13:36:00,248,1641130560
20220102133759002,2022-01-02 13:39:00,319,1641130740
20220102133806003,2022-01-02 13:39:00,674,1641130740
20220102133911005,2022-01-02 13:40:00,495,1641130800
20220102134053002,2022-01-02 13:42:00,279,1641130920
20220102134232005,2022-01-02 13:43:00,580,1641130980
20220102134249008,2022-01-02 13:43:00,220,1641130980
20220102134609002,2022-01-02 13:48:00,349,1641131280
20220102134731008,2022-01-02 13:48:00,308,1641131280
