分隊,網格編號,車程時間
忠孝,80,21.0
泉州,80,24.0
古亭,80,25.0
城中,80,22.0
雙園,80,24.0
龍山,80,21.0
萬芳,80,31.0
景美,80,30.0
木柵,80,34.0
寶橋,80,35.0
金華,80,23.0
安和,80,27.0
復興,80,23.0
南港,80,27.0
舊莊,80,29.0
成德,80,27.0
信義,80,28.0
永吉,80,27.0
莊敬,80,31.0
大直,80,23.0
松江,80,22.0
建國,80,17.0
圓山,80,17.0
八德,80,24.0
中崙,80,21.0
東湖,80,23.0
大湖,80,29.0
內湖,80,21.0
民權,80,27.0
建成,80,18.0
延平,80,18.0
大同,80,17.0
山仔后,80,27.0
天母,80,17.0
福安,80,7.0
社子,80,12.0
劍潭,80,15.0
雙溪,80,19.0
後港,80,12.0
陽明山,80,21.0
光明,80,9.0
關渡,80,6.0
石牌,80,10.0
秀山,80,9.0
華山,81,25.0
忠孝,81,24.0
泉州,81,27.0
古亭,81,28.0
城中,81,26.0
雙園,81,25.0
龍山,81,25.0
萬芳,81,34.0
景美,81,33.0
木柵,81,37.0
寶橋,81,39.0
金華,81,27.0
安和,81,30.0
復興,81,27.0
南港,81,30.0
舊莊,81,32.0
成德,81,31.0
信義,81,32.0
永吉,81,30.0
莊敬,81,35.0
大直,81,26.0
松江,81,25.0
建國,81,21.0
圓山,81,20.0
八德,81,27.0
中崙,81,25.0
東湖,81,26.0
大湖,81,33.0
內湖,81,24.0
民權,81,31.0
建成,81,22.0
延平,81,21.0
大同,81,20.0
山仔后,81,30.0
天母,81,20.0
福安,81,10.0
社子,81,15.0
劍潭,81,19.0
雙溪,81,22.0
後港,81,16.0
陽明山,81,25.0
光明,81,8.0
關渡,81,5.0
石牌,81,14.0
秀山,81,8.0
華山,82,29.0
忠孝,82,29.0
泉州,82,32.0
古亭,82,33.0
城中,82,30.0
雙園,82,27.0
龍山,82,29.0
萬芳,82,39.0
景美,82,38.0
木柵,82,42.0
寶橋,82,43.0
金華,82,31.0
安和,82,35.0
復興,82,31.0
南港,82,35.0
舊莊,82,37.0
成德,82,35.0
信義,82,36.0
永吉,82,35.0
莊敬,82,39.0
大直,82,31.0
松江,82,30.0
建國,82,25.0
圓山,82,25.0
八德,82,32.0
中崙,82,29.0
東湖,82,31.0
大湖,82,37.0
內湖,82,29.0
民權,82,35.0
建成,82,26.0
延平,82,26.0
大同,82,25.0
山仔后,82,39.0
天母,82,22.0
福安,82,15.0
社子,82,20.0
劍潭,82,23.0
雙溪,82,27.0
後港,82,20.0
陽明山,82,44.0
光明,82,11.0
關渡,82,8.0
石牌,82,18.0
秀山,82,30.0
華山,98,15.0
忠孝,98,20.0
泉州,98,11.0
古亭,98,17.0
城中,98,15.0
雙園,98,6.0
龍山,98,8.0
萬芳,98,27.0
景美,98,19.0
木柵,98,27.0
寶橋,98,24.0
金華,98,18.0
安和,98,24.0
復興,98,22.0
南港,98,29.0
舊莊,98,27.0
成德,98,25.0
信義,98,22.0
永吉,98,20.0
莊敬,98,27.0
大直,98,27.0
松江,98,17.0
建國,98,22.0
圓山,98,19.0
八德,98,18.0
中崙,98,20.0
東湖,98,27.0
大湖,98,33.0
內湖,98,25.0
民權,98,21.0
建成,98,15.0
延平,98,11.0
大同,98,16.0
山仔后,98,35.0
天母,98,34.0
福安,98,18.0
社子,98,17.0
劍潭,98,26.0
雙溪,98,29.0
後港,98,20.0
陽明山,98,40.0
光明,98,28.0
關渡,98,24.0
石牌,98,27.0
秀山,98,26.0
華山,99,11.0
忠孝,99,15.0
泉州,99,13.0
古亭,99,19.0
城中,99,14.0
雙園,99,8.0
龍山,99,6.0
萬芳,99,30.0
景美,99,22.0
木柵,99,26.0
寶橋,99,23.0
金華,99,16.0
安和,99,22.0
復興,99,22.0
南港,99,25.0
舊莊,99,23.0
成德,99,21.0
信義,99,18.0
永吉,99,16.0
莊敬,99,23.0
大直,99,23.0
松江,99,13.0
建國,99,18.0
圓山,99,15.0
八德,99,14.0
中崙,99,16.0
東湖,99,24.0
大湖,99,30.0
內湖,99,21.0
民權,99,18.0
建成,99,12.0
延平,99,8.0
大同,99,12.0
山仔后,99,38.0
天母,99,30.0
福安,99,15.0
社子,99,13.0
劍潭,99,22.0
雙溪,99,25.0
後港,99,17.0
陽明山,99,43.0
光明,99,24.0
關渡,99,22.0
石牌,99,24.0
秀山,99,29.0
華山,100,14.0
忠孝,100,19.0
泉州,100,11.0
古亭,100,17.0
城中,100,14.0
雙園,100,4.0
龍山,100,8.0
萬芳,100,27.0
景美,100,18.0
木柵,100,28.0
寶橋,100,24.0
金華,100,18.0
安和,100,23.0
復興,100,21.0
南港,100,28.0
舊莊,100,26.0
成德,100,24.0
信義,100,21.0
永吉,100,19.0
莊敬,100,26.0
大直,100,26.0
松江,100,16.0
建國,100,21.0
圓山,100,18.0
八德,100,17.0
中崙,100,19.0
東湖,100,27.0
大湖,100,33.0
內湖,100,24.0
民權,100,21.0
建成,100,15.0
延平,100,11.0
大同,100,15.0
山仔后,100,39.0
天母,100,33.0
福安,100,18.0
社子,100,16.0
劍潭,100,25.0
雙溪,100,28.0
後港,100,20.0
陽明山,100,44.0
光明,100,27.0
關渡,100,25.0
石牌,100,27.0
秀山,100,31.0
華山,101,16.0
忠孝,101,18.0
泉州,101,17.0
古亭,101,23.0
城中,101,15.0
雙園,101,11.0
